Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.2 - Secondary Enrolment by grade and sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1968 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Island of Mauritius,,,,,,,,Island of Rodrigues,,,,,,,,Republic of Mauritius,,,,,,,,
,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,
1994,"8,181  ","8,597  ","7,698  ","7,893  ","6,998  ","2,438  ","2,736  ","44,541  ",308  ,333  ,220  ,212  ,184  ,23  ,7  ,"1,287  ","8,489  ","8,930  ","7,918  ","8,105  ","7,182  ","2,461  ","2,743  ","45,828  ",
1995,"8,167  ","7,917  ","8,307  ","8,169  ","7,449  ","2,455  ","2,968  ","45,432  ",298  ,329  ,287  ,238  ,205  ,24  ,21  ,"1,402  ","8,465  ","8,246  ","8,594  ","8,407  ","7,654  ","2,479  ","2,989  ","46,834  ",
1996,"8,116  ","7,874  ","7,825  ","8,675  ","7,794  ","2,684  ","2,954  ","45,922  ",340  ,296  ,340  ,275  ,239  ,37  ,22  ,"1,549  ","8,456  ","8,170  ","8,165  ","8,950  ","8,033  ","2,721  ","2,976  ","47,471  ",
1997,"7,584  ","7,825  ","7,848  ","8,840  ","8,070  ","3,099  ","3,250  ","46,516  ",328  ,333  ,330  ,320  ,235  ,36  ,35  ,"1,617  ","7,912  ","8,158  ","8,178  ","9,160  ","8,305  ","3,135  ","3,285  ","48,133  ",
1998,"7,416  ","7,540  ","7,796  ","8,620  ","8,708  ","3,086  ","3,554  ","46,720  ",272  ,343  ,359  ,306  ,296  ,47  ,39  ,"1,662  ","7,688  ","7,883  ","8,155  ","8,926  ","9,004  ","3,133  ","3,593  ","48,382  ",
1999,"7,766  ","7,548  ","7,489  ","8,540  ","8,991  ","3,201  ","3,725  ","47,260  ",306  ,264  ,359  ,323  ,306  ,61  ,55  ,"1,674  ","8,072  ","7,812  ","7,848  ","8,863  ","9,297  ","3,262  ","3,780  ","48,934  ",
2000,"7,920  ","7,682  ","7,480  ","8,313  ","8,848  ","3,426  ","3,679  ","47,348  ",290  ,297  ,312  ,338  ,332  ,64  ,68  ,"1,701  ","8,210  ","7,979  ","7,792  ","8,651  ","9,180  ","3,490  ","3,747  ","49,049  ",
2001,"8,654  ","7,824  ","7,743  ","8,317  ","8,289  ","3,681  ","4,038  ","48,546  ",281  ,322  ,310  ,279  ,378  ,68  ,71  ,"1,709  ","8,935  ","8,146  ","8,053  ","8,596  ","8,667  ","3,749  ","4,109  ","50,255  ",
2002,"9,006  ","8,683  ","7,943  ","8,277  ","8,392  ","3,711  ","3,915  ","49,927  ",315  ,318  ,309  ,306  ,349  ,78  ,96  ,"1,771  ","9,321  ","9,001  ","8,252  ","8,583  ","8,741  ","3,789  ","4,011  ","51,698  ",
2003,"9,380  ","9,046  ","8,577  ","8,408  ","8,596  ","3,738  ","4,315  ","52,060  ",364  ,317  ,352  ,314  ,318  ,99  ,77  ,"1,841  ","9,744  ","9,363  ","8,929  ","8,722  ","8,914  ","3,837  ","4,392  ","53,901  ",
2004,"9,194  ","9,281  ","8,952  ","8,858  ","8,742  ","4,115  ","4,074  ","53,216  ",329  ,373  ,353  ,311  ,309  ,86  ,101  ,"1,862  ","9,523  ","9,654  ","9,305  ","9,169  ","9,051  ","4,201  ","4,175  ","55,078  ",
