Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.2 - Secondary Enrolment by grade and sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1968 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Island of Mauritius,,,,,,,,Island of Rodrigues,,,,,,,,Republic of Mauritius,,,,,,,,
,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,
2005,"9,028  ","9,325  ","9,420  ","9,432  ","9,318  ","4,625  ","4,294  ","55,442  ",272  ,356  ,367  ,330  ,339  ,98  ,95  ,"1,857  ","9,300  ","9,681  ","9,787  ","9,762  ","9,657  ","4,723  ","4,389  ","57,299  ",
2006,"9,219  ","9,168  ","9,467  ","9,962  ","9,918  ","5,038  ","4,804  ","57,576  ",350  ,299  ,375  ,347  ,359  ,104  ,111  ,"1,945  ","9,569  ","9,467  ","9,842  ","10,309  ","10,277  ","5,142  ","4,915  ","59,521  ",
2007,"9,161  ","9,333  ","9,085  ","10,163  ","10,431  ","5,345  ","5,079  ","58,597  ",361  ,352  ,328  ,374  ,356  ,112  ,129  ,"2,012  ","9,522  ","9,685  ","9,413  ","10,537  ","10,787  ","5,457  ","5,208  ","60,609  ",
2008,"8,573  ","9,156  ","9,367  ","9,815  ","10,555  ","5,861  ","5,403  ","58,730  ",286  ,373  ,333  ,323  ,326  ,125  ,134  ,"1,900  ","8,859  ","9,529  ","9,700  ","10,138  ","10,881  ","5,986  ","5,537  ","60,630  ",
2009,"8,349  ","8,723  ","9,273  ","10,041  ","10,553  ","6,102  ","5,835  ","58,876  ",263  ,313  ,379  ,346  ,376  ,129  ,155  ,"1,961  ","8,612  ","9,036  ","9,652  ","10,387  ","10,929  ","6,231  ","5,990  ","60,837  ",
2010,"8,087  ","8,540  ","8,814  ","10,215  ","10,394  ","6,118  ","6,052  ","58,220  ",259  ,268  ,372  ,352  ,371  ,151  ,155  ,"1,928  ","8,346  ","8,808  ","9,186  ","10,567  ","10,765  ","6,269  ","6,207  ","60,148  ",
2011,"8,331  ","8,156  ","8,573  ","9,659  ","10,324  ","6,801  ","6,361  ","58,205  ",271  ,254  ,308  ,409  ,340  ,176  ,138  ,"1,896  ","8,602  ","8,410  ","8,881  ","10,068  ","10,664  ","6,977  ","6,499  ","60,101  ",
2012,"8,416  ","8,493  ","8,291  ","9,368  ","10,235  ","6,671  ","6,711  ","58,185  ",369  ,344  ,321  ,374  ,374  ,176  ,160  ,"2,118  ","8,785  ","8,837  ","8,612  ","9,742  ","10,609  ","6,847  ","6,871  ","60,303  ",
2013,"8,318  ","8,555  ","8,343  ","9,116  ","9,717  ","6,561  ","6,704  ","57,314  ",352  ,382  ,349  ,339  ,395  ,189  ,161  ,"2,167  ","8,670  ","8,937  ","8,692  ","9,455  ","10,112  ","6,750  ","6,865  ","59,481  ",
2014,"8,733  ","8,453  ","8,644  ","8,983  ","9,708  ","6,072  ","6,861  ","57,454  ",397  ,362  ,389  ,350  ,314  ,207  ,176  ,"2,195  ","9,130  ","8,815  ","9,033  ","9,333  ","10,022  ","6,279  ","7,037  ","59,649  ",
2015,"7,967  ","8,924  ","8,665  ","9,322  ","9,871  ","5,890  ","6,674  ","57,313  ",356  ,427  ,395  ,411  ,350  ,160  ,205  ,"2,304  ","8,323  ","9,351  ","9,060  ","9,733  ","10,221  ","6,050  ","6,879  ","59,617  ",
2016,"7,918  ","8,167  ","8,981  ","9,370  ","9,747  ","5,838  ","6,048  ","56,069  ",441  ,379  ,474  ,399  ,408  ,147  ,194  ,"2,442  ","8,359  ","8,546  ","9,455  ","9,769  ","10,155  ","5,985  ","6,242  ","58,511  ",
2017,"7,732  ","8,009  ","8,607  ","9,443  ","9,886  ","5,637  ","6,105  ","55,419  ",351  ,403  ,414  ,429  ,423  ,172  ,164,"2,356  ","8,083  ","8,412  ","9,021  ","9,872  ","10,309  ","5,809  ","6,269  ","57,775  ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
