Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19 - Estimated Resident Population By Geographical District and Sex - Republic Of Mauritius, 1990 - 2016 (Mid -Year Estimates ) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Area,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,New Area,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,
DISTRICT,(Km²),B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,(Km²),B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female
Is of Mts,1864.8   ,"1,024,571 "," 512,005 "," 512,566 ","1,035,807 "," 517,195 "," 518,612 ","1,049,967 "," 525,751 "," 524,216 ","1,062,810 "," 532,599 "," 530,211 ","1,077,946 "," 539,715 "," 538,231 ","1,087,343 "," 544,185 "," 543,158 ","1,098,668 "," 549,671 "," 548,997 ","1,112,636 "," 556,428 "," 556,208 ","1,124,508 "," 562,166 "," 562,342 ","1,138,969 "," 569,051 "," 569,918 ","1,151,094 "," 570,512 "," 580,582 ","1,160,083 "," 574,974 "," 585,109 ","1,167,995 "," 578,833 "," 589,162 ","1,176,323 "," 582,779 "," 593,544 ","1,183,533 "," 586,306 "," 597,227 ","1,190,361 "," 589,631 "," 600,730 ","1,195,676 "," 592,221 "," 603,455 ","1,200,887 "," 594,908 "," 605,979 ","1,204,955 "," 596,795 "," 608,160 ","1,207,842 "," 597,903 "," 609,939 ","1,210,391 "," 599,086 "," 611,305 ",1868.4   ,"1,211,970 "," 599,687 "," 612,283 ","1,214,987 "," 601,158 "," 613,829 ","1,217,341 "," 602,493 "," 614,848 ","1,219,265 "," 603,473 "," 615,792 ","1,220,663 ","604,118 ","616,545 ","1,221,213 ","604,444 ","616,769 "
Is.of Rodrigues,104.0   ,"34,204 "," 17,084 "," 17,120 ","34,321 "," 17,130 "," 17,191 ","34,434 "," 17,166 "," 17,268 ","34,495 "," 17,191 "," 17,304 ","34,661 "," 17,264 "," 17,397 ","34,775 "," 17,320 "," 17,455 ","34,883 "," 17,344 "," 17,539 ","35,070 "," 17,431 "," 17,639 ","35,221 "," 17,491 "," 17,730 ","35,448 "," 17,570 "," 17,878 ","35,779 "," 17,700 "," 18,079 ","36,204 "," 17,901 "," 18,303 ","36,626 "," 18,100 "," 18,526 ","37,047 "," 18,300 "," 18,747 ","37,470 "," 18,500 "," 18,970 ","37,893 "," 18,701 "," 19,192 ","38,320 "," 18,903 "," 19,417 ","38,743 "," 19,104 "," 19,639 ","39,166 "," 19,304 "," 19,862 ","39,587 "," 19,504 "," 20,083 ","40,009 "," 19,703 "," 20,306 ",110.1   ,"40,434 "," 19,904 "," 20,530 ","40,895 "," 20,139 "," 20,756 ","41,312 "," 20,368 "," 20,944 ","41,669 "," 20,529 "," 21,140 ","41,942 "," 20,651 "," 21,291 ","42,260 "," 20,762 "," 21,498 "
Rep. of Mauritius,1968.8   ,"1,058,775 "," 529,089 "," 529,686 ","1,070,128 "," 534,325 "," 535,803 ","1,084,401 "," 542,917 "," 541,484 ","1,097,305 "," 549,790 "," 547,515 ","1,112,607 "," 556,979 "," 555,628 ","1,122,118 "," 561,505 "," 560,613 ","1,133,551 "," 567,015 "," 566,536 ","1,147,706 "," 573,859 "," 573,847 ","1,159,729 "," 579,657 "," 580,072 ","1,174,417 "," 586,621 "," 587,796 ","1,186,873 "," 588,212 "," 598,661 ","1,196,287 "," 592,875 "," 603,412 ","1,204,621 "," 596,933 "," 607,688 ","1,213,370 "," 601,079 "," 612,291 ","1,221,003 "," 604,806 "," 616,197 ","1,228,254 "," 608,332 "," 619,922 ","1,233,996 "," 611,124 "," 622,872 ","1,239,630 "," 614,012 "," 625,618 ","1,244,121 "," 616,099 "," 628,022 ","1,247,429 "," 617,407 "," 630,022 ","1,250,400 "," 618,789 "," 631,611 ",1978.5   ,"1,252,404 "," 619,591 "," 632,813 ","1,255,882 "," 621,297 "," 634,585 ","1,258,653 "," 622,861 "," 635,792 ","1,260,934 "," 624,002 "," 636,932 ","1,262,605 ","624,769 ","637,836 ","1,263,473 ","625,206 ","638,267 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(i) Figures from 1991 to1999 are based on 1990 Population Census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These figures will be different from table 1C as population by age group was not revised for these years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ii) As from year 2011 the population estimates for Districts  are given according to new boundaries as amended and gazetted in the Local Government Act 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
